uttid,text,audio_path,duration
vf5-11,and when you come back in a few days bring eileen,/Users/chliu/github/deepspeech/notebooks/example/audio/vf5-11.wav,6.641125
vf5-12,gregson had left the outer door slightly ajar,/Users/chliu/github/deepspeech/notebooks/example/audio/vf5-12.wav,6.718125
vf5-13,the date was nearly eighteen years old,/Users/chliu/github/deepspeech/notebooks/example/audio/vf5-13.wav,5.39875
vf5-14,they were the presage of storm,/Users/chliu/github/deepspeech/notebooks/example/audio/vf5-14.wav,5.134875
vf5-15,down there the earth was already swelling with life,/Users/chliu/github/deepspeech/notebooks/example/audio/vf5-15.wav,7.58675
vf5-16,for the first time in his life he was yearning for a scrap,/Users/chliu/github/deepspeech/notebooks/example/audio/vf5-16.wav,6.751125
vf5-17,she had been thoroughly and efficiently mauled,/Users/chliu/github/deepspeech/notebooks/example/audio/vf5-17.wav,5.9485
vf5-18,every bone in her aged body seemed broken or dislocated,/Users/chliu/github/deepspeech/notebooks/example/audio/vf5-18.wav,8.75225
vf5-19,tomorrow i'm going after that bear he said,/Users/chliu/github/deepspeech/notebooks/example/audio/vf5-19.wav,6.025375
vf5-20,if not let's say our prayers and go to bed,/Users/chliu/github/deepspeech/notebooks/example/audio/vf5-20.wav,5.651625
vf3-31,instead he joined her and they ate like two hungry children,/Users/chliu/github/deepspeech/notebooks/example/audio/vf3-31.wav,7.64
vf3-32,he was wounded in the arm,/Users/chliu/github/deepspeech/notebooks/example/audio/vf3-32.wav,3.68
vf3-33,i suppose you picked that lingo up among the indians,/Users/chliu/github/deepspeech/notebooks/example/audio/vf3-33.wav,6.05
vf3-34,her words sent a strange chill through philip,/Users/chliu/github/deepspeech/notebooks/example/audio/vf3-34.wav,5.48
vf3-35,he had no excuse for the feelings which were aroused in him,/Users/chliu/github/deepspeech/notebooks/example/audio/vf3-35.wav,5.48
vf3-06,death had come with terrible suddenness,/Users/chliu/github/deepspeech/notebooks/example/audio/vf3-06.wav,5.06
vf3-07,philip bent lower and stared into the face of the dead man,/Users/chliu/github/deepspeech/notebooks/example/audio/vf3-07.wav,6.05
vf3-08,he made sure that the magazine was loaded and resumed his paddling,/Users/chliu/github/deepspeech/notebooks/example/audio/vf3-08.wav,5.78
vf3-09,the nightglow was treacherous to shoot by,/Users/chliu/github/deepspeech/notebooks/example/audio/vf3-09.wav,5.18
vf3-10,the singing voice approached rapidly,/Users/chliu/github/deepspeech/notebooks/example/audio/vf3-10.wav,4.4
